Key,Value
adf_admission_all_feedbacks_dashboard,ADMISSION- FEEDBACKS DASHBOARD
adf_admission_all_feedbacks_report,ADMISSION- ALL FEEDBACKS REPORT
adf_admission_satisfied_patient_list,ADMISSION- SATISFIED PATIENTS LIST
adf_admission_unsatisfied_patient_list,ADMISSION- UNSATISFIED PATIENTS LIST
adf_admission_psat_analysis,ADMISSION- PSAT ANALYSIS
adf_admission_nps_analysis,ADMISSION- NPS ANALYSIS
adf_admission_nps_promoter_list,ADMISSION- NPS PROMOTERS LIST
adf_admission_nps_detractors_list,ADMISSION- NPS DETRACTORS LIST
adf_nps_passives,ADMISSION- NPS PASSIVES LIST
adf_admission_ticket_dashboard,ADMISSION- TICKETS DASHBOARD
adf_admission_all_tickets,ADMISSION- ALL TICKETS
adf_admission_open_tickets,ADMISSION- OPEN TICKETS
adf_admission_adrressed_tickets,ADMISSION- ADDRESSED TICKETS
adf_admission_closed_tickets,ADMISSION- CLOSED TICKETS
adf_admission_capa_report,ADMISSION- CAPA REPORT
adf_admission_ticket_resolution_rate,ADMISSION- TICKET RESOLUTION RATE
adf_admission_avg_resolution_time,ADMISSION- AVERAGE RESOLUTION TIME
adf_total_feedbacks,Total Feedbacks
adf_total_feedbacks_tooltip,Total feedback response received from admitted patients for the selected period.
adf_psat_satisfied,Satisfied Patients
adf_psat_satisfied_tooltip,No. of patients who had a better admission experience.
adf_psat_unsatisfied,Unsatisfied Patients
adf_psat_unsatisfied_tooltip,Patient who rated below average and have one or more negative experiences on admission.
adf_total_tickets,Total Tickets
adf_total_tickets_tooltip,Total no. of negative ratings for admission experience.
adf_psat,PSAT
adf_psat_tooltip,The PSAT is a metric that indicates how satisfied patients are with the admission experience.
adf_nps,NPS
adf_nps_tooltip,NPS is a metric used to measure patient loyalty and also to understand how much your patients like your services and whether they are willing to recommend them to others based on their admission experience.
adf_ticket_resolution_rate,Ticket Resolution Rate
adf_ticket_resolution_rate_tooltip,Metric used to measure the efficiency and effectiveness of the team to close the negative feedbacks received on admission.
adf_average_resolution_time,Average Resolution Time
adf_average_resolution_time_tooltip,The average amount of time taken by the team to close the admission experience tickets.
adf_open_tickets,Open Tickets
adf_open_tickets_tooltip,Number of tickets yet to be addressed or closed.
adf_addressed_tickets,Addressed Tickets
adf_addressed_tickets_tooltip,Number of tickets addressed with the first response.
adf_closed_tickets,Closed Tickets
adf_closed_tickets_tooltip,Number of tickets resolved.
adf_satisfied_patients,Satisfied Patients
adf_unsatisfied_patients,Unsatisfied Patients
adf_promoters,Promoters
adf_detractors,Detractors
adf_passives,Passives
adf_key_takeaways,Key Takeaways
adf_key_takeaways_tooltip,This section will give you a complete understanding of the performance of every parameter and department over the selected period of time.
adf_patient_feedbacks_analysis,Patient Feedbacks Analysis
adf_patient_feedbacks_analysis_tooltip,Bar chart representing rating performance of each touchpoint on the patient's first day.
adf_patient_satisfaction_analysis,Patient Satisfaction Analysis
adf_patient_satisfaction_analysis_tooltip,Graph showcasing fluctuations or improvements in the Admitted Patient's Satisfaction Score(PSAT) over continuous time intervals.
adf_net_promoter_analysis,Net Promoter Analysis
adf_net_promoter_analysis_tooltip,Graph showcasing variations in the Admission experience NPS score over continuous time intervals.
adf_tickets_received_by_department,Tickets Received By Department
adf_tickets_received_by_department_tooltip,This Pie chart shows how the tickets are divided into various categories and what percentage of each department tickets contributes to the total admission feedback tickets.
adf_recent_patient_feedbacks,Recent Patient Feedbacks
adf_recent_patient_feedbacks_tooltip,List of recent admitted patient feedbacks during the selected period
adf_hospital_selection_analysis,Hospital Selection Analysis
adf_hospital_selection_analysis_tooltip,Chart to analyze patients coming to the hospital through various sources.
adf_recent_patient_comments,Recent Patient Comments
adf_recent_patient_comments_tooltip,List of recent patient comments during the selected period.
adf_tickets_recived_by_department,Tickets Received By Department
