Key,Value
ip_allfeedbacks_dashboard,IP- FEEDBACKS DASHBOARD
ip_allfeedbacks_report,IP- ALL FEEDBACKS REPORT
ip_satisfied_patientlist,IP- SATISFIED PATIENTS LIST
ip_unsatisfied_patientlist,IP- UNSATISFIED PATIENTS LIST
ip_psat_analysis,IP- PSAT ANALYSIS
ip_nps_analysis,IP- NPS ANALYSIS
ip_nps_promoter list,IP- NPS PROMOTERS LIST
ip_nps_detractors list,IP- NPS DETRACTORS LIST
ip_nps_passives,IP- NPS PASSIVES LIST
ip_ticket_dashboard,IP- TICKETS DASHBOARD
ip_all_tickets,IP- ALL TICKETS
ip_open_tickets,Open Tickets
ip_adrressed_tickets,IP- ADDRESSED TICKETS
ip_closed_tickets,Closed Tickets
ip_capa_report,IP- CAPA REPORT
ip_ticket_resolution_rate,Ticket Resolution Rate
ip_avg_resolution_time,IP- AVERAGE RESOLUTION TIME
ip_total_feedbacks,Total Feedbacks
ip_total_feedbacks_tooltip,Total patient feedback response received during the selected period.
ip_psat_satisfied,Satisfied Patients
ip_psat_satisfied__tooltip,Patients who rated above average and do not have any negative experience.
ip_psat_unsatisfied,Unsatisfied Patients
ip_psat_unsatisfied_tooltip,Patient who rated below average and have one or more negative experience.
ip_total_tickets,Total Tickets
ip_total_tickets_tooltip,Total no. of negative ratings received during the selected period.
ip_psat,PSAT
ip_psat_tooltip,The PSAT is a metric that indicates how satisfied patients are with the services they have received from you.
ip_nps,NPS
ip_nps_tooltip,NPS is a metric used to measure patient loyalty and also to understand how much your patients like your services and whether they are willing to recommend them to others.
ip_ticket_resolution_rate_tooltip,Metric used to measure the efficiency and effectiveness of the team to close the negative feedbacks.
ip_average_resolution_time,Average Resolution Time
ip_average_resolution_time_tooltip,The average amount of time taken by the team to close the tickets.
ip_open_tickets_tooltip,Number of tickets yet to be addressed or closed.
ip_addressed_tickets,Addressed Tickets
ip_addressed_tickets_tooltip,Number of tickets addressed with the first response.
ip_closed_tickets_tooltip,Number of tickets resolved.
ip_average_resolutiontime,Average Resolution Time
ip_satisfied_patients,Satisfied Patients
ip_unsatisfied_patients,Unsatisfied Patients
ip_promoters,Promoters
ip_detractors,Detractors
ip_passives,Passives
ip_key_takeaways,Key Takeaways
ip_key_takeaways_tooltip,AI-generated recommendations highlighting key insights based on rating scores and negative feedback received for the category
ip_patient_feedbacks_analysis,Patient Feedbacks Analysis
ip_patient_feedbacks_analysis_tooltip,Bar chart representing rating performance of each touchpoint throughout the patient journey.
ip_patient_satisfaction_analysis,Patient Satisfaction Analysis
ip_patient_satisfaction_analysis_tooltip,Graph showcasing fluctuations or improvements in the Patient's Satisfaction Score(PSAT) over continuous time intervals.
ip_netpromoter_analysis,Net Promoter Analysis
ip_netpromoter_analysis_tooltip,Graph showcasing variations in the NPS score over continuous time intervals.
ip_tickets_received_by_department,Tickets Received By Department
ip_tickets_received_by_department_tooltip,This Pie chart shows how the tickets are divided into various categories and what percentage of each department tickets contributes to the total.
ip_recent_patient_feedbacks,Recent Patient Feedbacks
ip_recent_patient_feedbacks_tooltip,List of recent patient feedbacks during the selected period
ip_hospital_selection_analysis,Hospital Selection Analysis
ip_hospital_selection_analysis_tooltip,Chart to analyze patients coming to the hospital through various sources.
ip_recent_patient_comments,Recent Patient Comments
ip_recent_patientcomments_tooltip,List of recent patient comments during the selected period.
ip_tickets_recived_by_department,Tickets Received By Department
ip_tickets_recived_by_department_tooltip,This Pie chart shows how the tickets are divided into various categories and what percentage of each department tickets contributes to the total feedback tickets
ip_recent_tickets,Recent Tickets
ip_recent_tickets_tooltip,List of recent tickets for the selected period
ip_patient_name,Patient Name
ip_patient_id,Patient ID
ip_floor_ward,Floor/Ward
ip_room_bedno,Room/Bed No.
ip_transfering_ticket,Transfering tickets
ip_department,Department
ip_comment,Comment
ip_contact_number,Contact Number
ip_date_time,Date Time
ip_source,Source
ip_slno,Sl. No
ip_date,Date
ip_feedback_id,Feedback ID
ip_patient_details,Patient details
ip_average_rating,Average rating
ip_comment,Comment
ip_nps_comment,NPS comment
ip_nps_score,NPS score
ip_departments,Departments
ip_concern,Concern
ip_nps_score_9_10,NPS score (9-10)
ip_nps_score_0_6,NPS score (0-6)
ip_nps_score_7_8,NPS score (7-8)
ip_select_department,Select Department
ip_ticket_id,Ticket ID
ip_rating,Rating
ip_department,Department
ip_created_on,Created on
ip_modified_on,Modified on
ip_action,Action
ip_addresal_comment,Addressal comment
ip_rca,RCA
ip_capa,CAPA
ip_tat,Turn around time(TAT)
ip_resolution_rate,Resolution rate
ip_avg_resolution_time,Avg. resolution time
ip_ticket_deatails,Ticket details
ip_assignedto,Assigned to
ip_ticket_status,Ticket Status
ip_last_updated_on,Last updated on
ip_received_the_highest_satisfaction_rating,received the highest satisfaction rating for the selected period.
ip_your,Your
ip_download_total_feedback_tooltip,Download detailed patient wise feedback report for IPD.
ip_has_to_be_improved,has to be improved as it received the lowest rating for the selected period.
ip_unhappy_feedback_submitted_by,"Unhappy feedback submitted by,"
ip_happy_feedback_submitted_by,"Happy feedback submitted by,"
ip_you_have_received_most_complaints_in,You have received the most patient complaints in
ip_you_have_received_least_complaints_in,You have received the least complaints in
ip_no_record_found,No Records Found!
ip_select_parameter,select parameter
ip_download_open_tickets_report_tooltip,Download open tickets report
ip_download_capa_report_tooltip,Download CAPA report
ip_download_addressed_report_tooltip,Download addressed tickets report
ip_download_all_report,Download all tickets report
ip_discharge_feedback_tooltip,INPATIENT DISCHARGE FEEDBACK TICKET- <TICKET ID>
ip_address_this_ticket,Address this ticket
ip_reopen_this_ticket,Reopen this ticket
ip_transfering_ticket,Transfer ticket to other department
ip_capa_close_ticket,Please submit an RCA and CAPA to close this ticket
ip_ipdt,IPDT-
ip_rated,Rated
ip_address,Address
ip_close,Close
ip_open,Open
ip_transfer,Transfer
ip_reopen,Reopen
ip_submit,Submit
ip_department,Department  
ip_comment,Comment
ip_download_department_report_tooltip,Click here to download department wise patient feedback report
ip_download_discharge_report_tooltip,Download Discharge Inpatient Feedbacks Patient Wise Report
ip_download_discharge_overall_report_tooltip,Download Discharge Inpatient Overall Feedbacks Report in excel format
ip_download_discharge_overall_report_pdf_tooltip,Download Discharge Inpatient Overall Feedbacks Report in pdf format
ip_downloads,Downloads:
ip_view_list,View List
ip_key_takeaways_fd_tooltip,Key takeaway section will showcase key points to be learned from the patient experience data
ip_email_id,Email ID
ip_admission_date,Admission Date
ip_promoters_tooltip,On a scale from 0-10
ip_promoters_tooltip_r,how likely are you to recommend this hospital to your friends or family members?
ip_close_hospital,Reason to choose hospital
ip_discharge_feedback_id_tooltip,INPATIENT DISCHARGE FEEDBACK-<Feedback ID>
ip_location_proximity,Location / Proximity
ip_specific_service,Specific Services offered
ip_ff_rocommendation,Friend/Family recommendation
ip_referred_by_doctors,Referred by doctors
ip_previous_experience,Previous experience
ip_insurance_facilities,Insurance facilities
ip_company_recommendation,Company Recommendation
ip_print_online,Print or Online Media
ip_recognized_staff,Recognized Staff:
ip_staff_name,Staff Name
ip_feedback_suggestions,Feedback/ Suggestions
ip_negative_events_analysis,Negative Events Analysis
ip_patients_voicing,Patients are increasingly voicing concerns about the
ip_lowest_patient_rank,ranks lowest in terms of patient concerns.
ip_view_all,View All
ip_from,From
ip_at,at
ip_no,No.
ip_contact,Contact
ip_root_cause,RCA
ip_ticket_is_open,Ticket is open
ip_ticket_thread,Ticket Thread
ip_ticket_history,Ticket History
ip_reasons,Reasons
ip_no_comments,No Comments
ip_peaple_often_mention,People often mention:
ip_general_comment,General comment
ip_patient_comment_analysis,Patient Comment Analysis
ip_no_record_found,No Records Found!
ip_total_feedback_tooltip,Total patient feedback response received during the selected period
ip_assigned_to,Assigned to
ip_negative_analysis_tooltip,This pie chart gives you detailed metrics on no. of tickets received by each department.
ip_from,from
ip_s_total_tickets,Total tickets
ip_s_open_tickets,Open tickets
ip_s_addressed_tickets,Addressed tickets
ip_s_closed_tickets,Closed tickets
ip_discharge_feedback_tooltip,QUALITY INDICATOR MANAGER-<KPI ID>
audit_id_tooltip,QUALITY AUDIT MANAGER-<AUDIT ID>
kpi1,1.PSQ3a- Time taken for initial assessment of indoor patients
kpi2,2.PSQ3a- Number of reporting errors per 1000 investigations
kpi3,3.PSQ3a- Percentage of adherence to safety precautions by staff working in diagnostics
kpi4,4.PSQ3a- Medication errors rate
kpi5,5.PSQ3a- Percentage of medication charts with error-prone abbreviations
kpi6,6.PSQ3a- Percentage of in-patients developing adverse drug reaction(s)
kpi7,7.PSQ3a- Percentage of unplanned return to OT
kpi8,8.PSQ3a- Percentage of surgeries where the organisations procedure to prevent adverse events- wrong site/wrong patient/wrong surgery have been adhered to
kpi9,9.PSQ3a- Percentage of transfusion reactions
